한겨레,중앙일보,한국일보,동아일보
“내게 정구란? 인생 역전이죠!”,"안정환 ""車 부수고 살해협박…그때 35억, 국민사랑과 퉁쳤다""","축구대표팀, 카타르 월드컵 8강 진출시 포상금 78억",올해 최고 불운의 아이콘은?
‘세계 최강’ 브라질 4-4-2 몸풀기…“손흥민 막아서 승부 본다” ,"신동엽 부친상…""1년째 못 뵀는데"" 방송서 밝힌 짠한 가족사","뜨거웠던 KIA의 5월... ""나·황·소"" 트리오가 있었다",카타르 월드컵 8강 오르면 포상금 78억 원 
“내게 정구란? 인생 역전이죠!” ,"5살 꼬마, 손흥민 제치고 토트넘 이달의 골 주인공 됐다","한국과 인연 깊은 US여자오픈, 12번째 우승자 나오나","쉼없이 달린 삼성 루키 이재현, 허벅지 통증에 ‘일단 정지’ "
‘손흥민팀’ 카타르월드컵16강 진출 땐 ‘추가 1억’…그 다음엔? ,"이서진에 ""내 핸드백 들어줘""…짐꾼 취급한 美여배우 황당","‘매치퀸’ 지은희, LPGA 한국인 최고령 우승… 통산 6승째",5월에만 16승…단독 2위도약 키움 “잘 버텼습니다” 
